trailer_title,url,imdb_id,year,rating,votes,genre
THE MUMMY'S HAND trailer,https://archive.org/download/TheMummysHandTrailer/TheMummysHandTrailer.mp4,0032818,1932,6.1,3527.0,Adventure|Fantasy|Horror
I LOVE YOU AGAIN trailer,https://archive.org/download/ILoveYouAgainTrailer/ILoveYouAgainTrailer.mp4,0032617,1940,7.5,2955.0,Comedy|Romance
MY LITTLE CHICKADEE trailer,https://archive.org/download/MyLittleChickadeeTrailer/MyLittleChickadeeTrailer.mp4,0032828,1940,6.9,2540.0,Comedy|Western
YOU'LL FIND OUT trailer,https://archive.org/download/YoullFindOutTrailer/YoullFindOutTrailer.mp4,0033283,1940,6.3,1105.0,Comedy|Horror|Musical|Mystery|Romance
SEVEN SINNERS trailer,https://archive.org/download/SevenSinnersTrailer/SevenSinnersTrailer.mp4,0033038,1940,6.7,1177.0,Comedy|Drama|Romance
THE SHOP AROUND THE CORNER trailer,https://archive.org/download/TheShopAroundTheCornerTrailer/TheShopAroundTheCornerTrailer.mp4,0033045,1998,8.1,27504.0,Comedy|Drama|Romance
FOREIGN CORRESPONDENT trailer,https://archive.org/download/ForeignCorrespondentTrailer/ForeignCorrespondentTrailer.mp4,0032484,1940,7.5,18299.0,Action|Romance|Thriller|War
SERGEANT YORK trailer,https://archive.org/download/SergeantYorkTrailer/SergeantYorkTrailer.mp4,0034167,1941,7.7,15292.0,Biography|Drama|History|Romance|War
49TH PARALLEL trailer.,https://archive.org/download/49thParallelTrailer/49thParallelTrailer.mp4,0033627,1941,7.3,5882.0,Drama|Thriller|War
THE BIG STORE trailer.,https://archive.org/download/TheBigStoreTrailer/TheBigStoreTrailer.mp4,0033388,1941,6.7,4715.0,Comedy|Musical
THAT HAMILTON WOMAN trailer.,https://archive.org/download/ThatHamiltonWomanTrailer/ThatHamiltonWomanTrailer.mp4,0034272,1941,7.2,3984.0,Drama|History|Romance|War
DIVE BOMBER trailer,https://archive.org/download/DiveBombertrailer/DiveBombertrailer.mp4,0033537,1941,6.5,1590.0,Drama|War
THE DEVIL AND DANIEL WEBSTER trailer,https://archive.org/download/TheDevilAndDanielWebsterTrailer/TheDevilAndDanielWebsterTrailer.mp4,0033532,1941,7.6,4604.0,Comedy|Drama|Fantasy
ONE FOOT IN HEAVEN trailer,https://archive.org/download/OneFootInHeavenTrailer/OneFootInHeavenTrailer.mp4,0033980,1917,6.8,1103.0,Biography|Drama
ROAD TO ZANZIBAR trailer,https://archive.org/download/RoadToZanzibarTrailer/RoadToZanzibarTrailer.mp4,0034116,1941,6.8,2878.0,Adventure|Comedy|Musical|Romance
LOVE CRAZY trailer,https://archive.org/download/LoveCrazyTrailer/LoveCrazyTrailer.mp4,0033852,1941,7.5,2668.0,Comedy|Romance
COME LIVE WITH ME trailer,https://archive.org/download/ComeLiveWithMeTrailer/ComeLiveWithMeTrailer.mp4,0033477,1941,7.1,1713.0,Comedy|Romance
CITIZEN KANE trailer,https://archive.org/download/CitizenKaneTrailer/CitizenKaneTrailer.mp4,0033467,1941,8.3,397892.0,Drama|Mystery
GREAT GUNS trailer,https://archive.org/download/GreatGunsTrailer/GreatGunsTrailer.mp4,0033676,1941,6.3,1263.0,Comedy|Romance|War
HIGH SIERRA trailer.,https://archive.org/download/HighSierraTrailer/HighSierraTrailet.mp4,0033717,1941,7.5,15009.0,Action|Adventure|Crime|Drama|Film-Noir|Thriller
THE SHEPHERD OF THE HILLS trailer,https://archive.org/download/TheShepherdOfTheHillsTrailer/TheShepherdOfTheHillsTrailer.mp4,0034182,1941,7.0,1935.0,Adventure|Drama|Romance|Western
SULLIVAN'S TRAVELS trailer,https://archive.org/download/SullivansTravelsTrailer/SullivansTravelsTrailer.mp4,0034240,1941,7.9,23829.0,Adventure|Comedy|Drama|Romance
ACROSS THE PACIFIC trailer,https://archive.org/download/AcrossThePacificTrailer/AcrossThePacificTrailer.mp4,0034428,1942,6.8,4253.0,Action|Adventure|Drama|Romance|War
THE PALM BEACH STORY trailer,https://archive.org/download/ThePalmBeachStoryTrailer/ThePalmBeachStoryTrailer.mp4,0035169,1942,7.5,10705.0,Comedy|Romance
KEEPER OF THE FLAME trailer,https://archive.org/download/KeeperOfTheFlameTrailer/KeeperOfTheFlameTrailer.mp4,0034936,1942,6.8,2244.0,Drama|Mystery
THE MALE ANIMAL trailer,https://archive.org/download/TheMaleAnimalTrailer/TheMaleAnimalTrailer.mp4,0035020,1952,6.6,1137.0,Comedy|Romance
CASABLANCA trailer,https://archive.org/download/CasablancaTrailer/CasablancaTrailer.mp4,0034583,1942,8.5,517216.0,Drama|Romance|War
I MARRIED A WITCH 1942 trailer,https://archive.org/download/IMarriedAWitch1942Trailer/IMarriedAWitch1942Trailer.mp4,0034881,1942,7.1,6835.0,Comedy|Fantasy|Romance
THE UNDYING MONSTER trailer.,https://archive.org/download/TheUndyingMonsterTrailer/TheUndyingMonsterTrailer.mp4,0035489,1942,6.2,1121.0,Drama|Horror|Mystery|Thriller
WHY WE FIGHT dvd trailer,https://archive.org/download/WhyWeFightDvdTrailer/WhyWeFightDvdTrailer.mp4,0035209,2005,7.0,1977.0,Documentary|War
